document, id, folder,total_out_count,total_in_count, total_out_unique_count, total_in_unique_count
"A_57_387-en.xml","A/57/387","TOP_1000",82,2,47,2
"A_56_17-en.xml","A/56/17","TOP_1000",47,27,39,7
"A_58_16-en.xml","A/58/16","TOP_1000",50,11,27,6
"A_61_10-en.xml","A/61/10","TOP_1000",82,24,18,11
"A_59_388-en.xml","A/59/388","TOP_1000",30,1,27,1
"A_57_16-en.xml","A/57/16","TOP_1000",35,5,24,4
"TRANS_WP30_200-en.xml","TRANS/WP.30/200","TOP_1000",56,41,21,7
"A_56_767-en.xml","A/56/767","TOP_1000",30,0,27,0
"A_58_189-en.xml","A/58/189","TOP_1000",31,0,27,0
"TRANS_WP30_204-en.xml","TRANS/WP.30/204","TOP_1000",70,33,18,8
"TRANS_WP30_206-en.xml","TRANS/WP.30/206","TOP_1000",38,16,17,8
"TRANS_WP30_196-en.xml","TRANS/WP.30/196","TOP_1000",61,32,22,3
"A_61_64-en.xml","A/61/64","TOP_1000",10,20,9,15
"A_58_274-en.xml","A/58/274","TOP_1000",24,2,23,1
"A_61_255-en.xml","A/61/255","TOP_1000",36,11,18,6
"E_CN4_2005_135-E_2005_23SUPP-en.xml","E/CN.4/2005/135-E/2005/23(SUPP)","TOP_1000",0,52,0,24
"TRANS_WP30_198-en.xml","TRANS/WP.30/198","TOP_1000",42,37,19,5
"A_CONF189_12-en.xml","A/CONF.189/12","TOP_1000",126,0,24,0
"E_CN4_2005_134PARTI-E_2005_23PARTI-en.xml","E/CN.4/2005/134(PARTI)-E/2005/23(PARTI)","TOP_1000",0,45,0,23
"A_RES_62_187-en.xml","A/RES/62/187","TOP_1000",44,0,23,0
"A_CN9_575-en.xml","A/CN.9/575","TOP_1000",148,8,21,1
"A_CN9_615-en.xml","A/CN.9/615","TOP_1000",166,21,16,6
"TRANS_WP30_194-en.xml","TRANS/WP.30/194","TOP_1000",48,19,18,4
"TRANS_WP30_210-en.xml","TRANS/WP.30/210","TOP_1000",17,29,10,12
"A_CN9_568-en.xml","A/CN.9/568","TOP_1000",223,0,22,0
"A_58_704-en.xml","A/58/704","TOP_1000",20,7,19,3
"A_CN9_595-en.xml","A/CN.9/595","TOP_1000",181,13,18,4
"A_CN9_590-en.xml","A/CN.9/590","TOP_1000",351,27,19,3
"A_CN9_WGIII_WP56-en.xml","A/CN.9/WG.III/WP.56","TOP_1000",144,505,8,13
"E_CN4_2004_127-E_2004_23SUPP-en.xml","E/CN.4/2004/127-E/2004/23(SUPP)","TOP_1000",0,48,0,21
"A_CN9_WGIII_WP81-en.xml","A/CN.9/WG.III/WP.81","TOP_1000",137,204,3,18
"A_62_163-en.xml","A/62/163","TOP_1000",21,6,15,6
"A_56_956-en.xml","A/56/956","TOP_1000",22,3,19,2
"A_59_153-en.xml","A/59/153","TOP_1000",19,1,19,1
"A_59_2005-en.xml","A/59/2005","TOP_1000",36,8,15,5
"A_61_228-en.xml","A/61/228","TOP_1000",11,23,11,9
"E_CN4_2004_127PARTI-E_2004_23PARTI-en.xml","E/CN.4/2004/127(PARTI)-E/2004/23(PARTI)","TOP_1000",0,43,0,20
"A_63_53-en.xml","A/63/53","TOP_1000",17,49,7,13
"ST_SGB_2003_13-en.xml","ST/SGB/2003/13","TOP_1000",37,0,20,0
"A_59_263-en.xml","A/59/263","TOP_1000",19,9,16,4
"A_59_556-en.xml","A/59/556","TOP_1000",16,19,13,7
"A_CN9_623-en.xml","A/CN.9/623","TOP_1000",172,21,12,7
"TRANS_WP30_202-en.xml","TRANS/WP.30/202","TOP_1000",47,22,14,5
"A_62_10-en.xml","A/62/10","TOP_1000",48,30,13,6
"A_58_395-en.xml","A/58/395","TOP_1000",30,4,17,2
"A_62_100_ADD1-en.xml","A/62/100/ADD.1","TOP_1000",0,32,0,19
"A_58_556-en.xml","A/58/556","TOP_1000",23,1,18,1
