source, target, value
"A/CONF.203/RPM.3/1","55/25",3
"A/CONF.203/RPM.3/1","A/CONF.203/RPM.3/L.1",3
"A/CONF.203/RPM.3/1","45/111",2
"A/CONF.203/RPM.3/1","57/171",2
"A/CONF.203/RPM.3/1","58/138",2
"A/CONF.203/RPM.3/1","58/4",2
"A/CONF.203/RPM.3/1","A/CONF.203/PM.1",2
"A/CONF.203/RPM.3/1","1997/36",1
"A/CONF.203/RPM.3/1","1998/23",1
"A/CONF.203/RPM.3/1","40/33",1
"A/CONF.203/RPM.3/1","43/172",1
"A/CONF.203/RPM.3/1","45/110",1
"A/CONF.203/RPM.3/1","45/113",1
"A/CONF.203/RPM.3/1","54/109",1
"A/CONF.203/RPM.3/1","55/2",1
"A/CONF.203/RPM.3/1","55/25.",1
"A/CONF.203/RPM.3/1","55/255",1
"A/CONF.203/RPM.3/1","56/119",1
"A/CONF.203/RPM.3/1","57/265",1
"A/CONF.203/RPM.3/1","58/138.",1
"A/CONF.203/RPM.3/1","A/CONF.203/RPM.3/L.2",1
"JOURNAL NO.2007/223","A/62/6",59
"JOURNAL NO.2007/223","A/C.2/62/L.36",4
"JOURNAL NO.2007/223","A/C.3/62/L.16/Rev.2",4
"JOURNAL NO.2007/223","A/C.3/62/L.29",4
"JOURNAL NO.2007/223","1996/31",3
"JOURNAL NO.2007/223","A/C.2/62/L.11",3
"JOURNAL NO.2007/223","A/C.2/62/L.28",3
"JOURNAL NO.2007/223","A/C.2/62/L.35",3
"JOURNAL NO.2007/223","A/C.3/62/L.29.",3
"JOURNAL NO.2007/223","A/C.3/62/L.32",3
"JOURNAL NO.2007/223","A/62/310",2
"JOURNAL NO.2007/223","A/62/379",2
"JOURNAL NO.2007/223","A/62/380",2
"JOURNAL NO.2007/223","A/62/491-S/2007/615",2
"JOURNAL NO.2007/223","A/62/540",2
"JOURNAL NO.2007/223","A/62/545-S/2007/668",2
"JOURNAL NO.2007/223","A/C.3/62/L.17/Rev.1",2
"JOURNAL NO.2007/223","A/C.3/62/L.64",2
"JOURNAL NO.2007/223","A/C.3/62/L.84",2
"JOURNAL NO.2007/223","A/C.3/62/L.85",2
