source,target,value
"A/CN.9/WG.III/WP.32","A/CN.9/526",130
"A/CN.9/WG.III/WP.32","A/CN.9/510",61
"A/CN.9/WG.III/WP.32","A/CN.9/525",44
"A/CN.9/WG.III/WP.32","A/CN.9/WG.III/WP.21",6
"A/CN.9/WG.III/WP.32","A/CN.9/525.",5
"A/CN.9/WG.III/WP.32","A/CN.9/526.",5
"A/CN.9/WG.III/WP.32","A/CN.9/510.",3
"A/CN.9/WG.III/WP.32","A/56/17",1
"A/CN.9/WG.III/WP.32","A/57/17",1
"A/CN.9/WG.III/WP.32","A/58/17",1
"A/CN.9/WG.III/WP.32","A/CN.9/WG.III/WP.21/Add.1",1
"A/CN.9/WG.III/WP.32","A/CN.9/WG.III/WP.26",1
"A/CN.9/WG.III/WP.32","A/CN.9/WG.III/WP.34.",1
"A/CN.9/WG.III/WP.32","A/CN.9/WGIII/WP21",1
"A/CN.9/WG.III/WP.32","A/CN.9WG.III/WP/21.",1
"A/60/7/ADD.1-42","A/60/537",26
"A/60/7/ADD.1-42","A/60/585/Add.3",16
"A/60/7/ADD.1-42","A/60/568",15
"A/60/7/ADD.1-42","A/60/585",14
"A/60/7/ADD.1-42","A/60/585/Add.4",14
"A/60/7/ADD.1-42","59/276",13
"A/60/7/ADD.1-42","41/213",12
"A/60/7/ADD.1-42","A/60/183",12
"A/60/7/ADD.1-42","A/60/7/Add.13",12
"A/60/7/ADD.1-42","42/211",11
"A/60/7/ADD.1-42","59/283",10
"A/60/7/ADD.1-42","A/60/360",10
"A/60/7/ADD.1-42","A/60/585/Add.1",10
"A/60/7/ADD.1-42","A/60/6",10
"A/60/7/ADD.1-42","A/60/7",10
"A/60/7/ADD.1-42","A/60/532",9
"A/60/7/ADD.1-42","60/1",8
"A/60/7/ADD.1-42","A/60/425",8
"A/60/7/ADD.1-42","A/60/113",7
"A/60/7/ADD.1-42","A/60/450",7
"A/60/7/ADD.1-42","HIV/AIDS",7
"A/60/7/ADD.1-42","59/278",6
"A/60/7/ADD.1-42","60/255",6
"A/60/7/ADD.1-42","A/60/585/Add.2",6
"A/60/7/ADD.1-42","A/C.3/60/L.15/Rev.1",6
"A/60/7/ADD.1-42","60/247",5
"A/60/7/ADD.1-42","A/60/599",5
"A/60/7/ADD.1-42","A/60/712-S/2006/145",5
"A/60/7/ADD.1-42","A/60/L.34",5
"A/60/7/ADD.1-42","A/C.3/60/L.22/Rev.1",5
"A/60/7/ADD.1-42","A/60/317",4
"A/60/7/ADD.1-42","A/60/363",4
"A/60/7/ADD.1-42","A/60/424",4
"A/60/7/ADD.1-42","A/60/550",4
"A/60/7/ADD.1-42","A/60/600",4
"A/60/7/ADD.1-42","A/60/694",4
"A/60/7/ADD.1-42","A/60/695",4
"A/60/7/ADD.1-42","A/60/7/Add.37",4
"A/60/7/ADD.1-42","A/60/899",4
"A/60/7/ADD.1-42","A/60/L.35",4
"A/60/7/ADD.1-42","A/60/L.48",4
"A/60/7/ADD.1-42","A/C.1/60/L.50/Rev.1",4
"A/60/7/ADD.1-42","A/C.3/60/L.53",4
"A/60/7/ADD.1-42","UNCTAD/WTO",4
"A/60/7/ADD.1-42","57/292",3
"A/60/7/ADD.1-42","60/180",3
"A/60/7/ADD.1-42","60/246",3
"A/60/7/ADD.1-42","60/248",3
"A/60/7/ADD.1-42","A/58/7/Add.1-30",3
"A/60/7/ADD.1-42","A/59/2005/Add.3",3
"A/60/7/ADD.1-42","A/59/572",3
"A/60/7/ADD.1-42","A/59/883",3
"A/60/7/ADD.1-42","A/60/303",3
"A/60/7/ADD.1-42","A/60/677",3
"A/60/7/ADD.1-42","A/60/7/Add.1-42",3
"A/60/7/ADD.1-42","A/60/7/Add.12",3
"A/60/7/ADD.1-42","A/60/7/Add.17",3
"A/60/7/ADD.1-42","A/60/7/Add.24",3
"A/60/7/ADD.1-42","A/60/7/Add.25",3
"A/60/7/ADD.1-42","A/60/874",3
"A/60/7/ADD.1-42","A/60/L.12",3
"A/60/7/ADD.1-42","A/C.2/60/L.62",3
"A/60/7/ADD.1-42","A/C.3/60/L.17",3
"A/60/7/ADD.1-42","A/C.5/60/17",3
"A/60/7/ADD.1-42","S/2006/375",3
"A/60/7/ADD.1-42","51/77",2
"A/60/7/ADD.1-42","550/hour",2
"A/60/7/ADD.1-42","56/270.",2
"A/60/7/ADD.1-42","57/190",2
"A/60/7/ADD.1-42","57/292.",2
"A/60/7/ADD.1-42","58/245",2
"A/60/7/ADD.1-42","59/276.",2
"A/60/7/ADD.1-42","A/56/672",2
"A/60/7/ADD.1-42","A/57/7/Add.17",2
"A/60/7/ADD.1-42","A/57/7/Add.4",2
"A/60/7/ADD.1-42","A/58/211",2
"A/60/7/ADD.1-42","A/59/331",2
"A/60/7/ADD.1-42","A/59/365/Add.1",2
"A/60/7/ADD.1-42","A/59/441/Add.1.",2
"A/60/7/ADD.1-42","A/59/543",2
"A/60/7/ADD.1-42","A/59/569/Add.1",2
"A/60/7/ADD.1-42","A/60/315",2
"A/60/7/ADD.1-42","A/60/376",2
"A/60/7/ADD.1-42","A/60/430",2
"A/60/7/ADD.1-42","A/60/5",2
"A/60/7/ADD.1-42","A/60/7/Add.16",2
"A/60/7/ADD.1-42","A/60/7/Add.22",2
"A/60/7/ADD.1-42","A/60/7/Add.27",2
"A/60/7/ADD.1-42","A/60/7/Add.39",2
"A/60/7/ADD.1-42","A/60/7/Add.7",2
"A/60/7/ADD.1-42","A/60/L.40",2
"A/60/7/ADD.1-42","A/60/L.43",2
"A/60/7/ADD.1-42","A/C.2/60/L.32/Rev.1",2
"A/60/7/ADD.1-42","A/C.3/59/L.26",2
"A/60/7/ADD.1-42","A/C.3/60/L.28",2
"A/60/7/ADD.1-42","A/C.5/60/19",2
"A/60/7/ADD.1-42","2005/292",1
"A/60/7/ADD.1-42","38/235",1
"A/60/7/ADD.1-42","41/209",1
"A/60/7/ADD.1-42","42/197",1
"A/60/7/ADD.1-42","52/220",1
"A/60/7/ADD.1-42","53/221",1
"A/60/7/ADD.1-42","53/47",1
"A/60/7/ADD.1-42","54/149",1
"A/60/7/ADD.1-42","55/238",1
"A/60/7/ADD.1-42","55/488",1
"A/60/7/ADD.1-42","56/237",1
"A/60/7/ADD.1-42","56/253",1
"A/60/7/ADD.1-42","56/270",1
"A/60/7/ADD.1-42","57/278",1
"A/60/7/ADD.1-42","58/249",1
"A/60/7/ADD.1-42","58/270",1
"A/60/7/ADD.1-42","58/272",1
"A/60/7/ADD.1-42","58/273",1
"A/60/7/ADD.1-42","59/260.",1
"A/60/7/ADD.1-42","59/264",1
"A/60/7/ADD.1-42","59/266",1
"A/60/7/ADD.1-42","59/269",1
"A/60/7/ADD.1-42","59/283.",1
"A/60/7/ADD.1-42","59/555",1
"A/60/7/ADD.1-42","60/1.",1
"A/60/7/ADD.1-42","60/180.",1
"A/60/7/ADD.1-42","60/224.",1
"A/60/7/ADD.1-42","60/225.",1
"A/60/7/ADD.1-42","60/226.",1
